No.,Fansub,Fanshare,Fanstream,Library
1,Aizukara,,,Nyaa.si
2,Altersubs,,,PerpusIndo
3,Anime Gokil,,,Shallty Anime
4,AniToki,,,
5,AoiTenshi,,,
6,Arks Fansubs,,,
7,ASubs,,,
8,AWSubs,,,
9,Caramel Fansubs,,,
10,Conan-ID,,,
11,Curcol,,,
12,D-AnimeSubs,,,
13,Delsubs,,,
14,DoraNobi Fansub Indonesia,,,
15,DurandalSubs,,,
16,EmotPekmen,,,
17,Excalibur Fansub,,,
18,GantzID,,,
19,Ginsub,,,
20,Harunasubs,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,